evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_VARIANCE_EVENT_001,tool_event,synthetic_tool_events,EVT_VARIANCE_001,SYNV2_00027,2026-01-05 13:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,True,process_variability_warning,"{""alarm_code"":""ALARM_PROCESS_VARIABILITY"",""chamber_id"":""TOOL_07_CH_01"",""end_time"":""2026-01-05 13:30:00"",""event_id"":""EVT_VARIANCE_001"",""event_type"":""process_variability_warning"",""evidence_id"":""EVID_VARIANCE_EVENT_001"",""related_lot_id"":""SYNV2_00027"",""severity"":""medium"",""start_time"":""2026-01-05 13:00:00"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00240,synthetic_lot,synthetic_secom_v2,SYNV2_00240,SYNV2_00240,2026-02-10 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-10 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00240"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00240"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00251,synthetic_lot,synthetic_secom_v2,SYNV2_00251,SYNV2_00251,2026-02-11 22:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-11 22:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00251"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00251"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00258,synthetic_lot,synthetic_secom_v2,SYNV2_00258,SYNV2_00258,2026-02-13 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-13 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00258"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00258"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00280,synthetic_lot,synthetic_secom_v2,SYNV2_00280,SYNV2_00280,2026-02-16 18:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-16 18:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00280"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00280"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00299,synthetic_lot,synthetic_secom_v2,SYNV2_00299,SYNV2_00299,2026-02-19 22:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-19 22:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00299"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00299"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00300,synthetic_lot,synthetic_secom_v2,SYNV2_00300,SYNV2_00300,2026-02-20 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-20 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00300"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00300"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00302,synthetic_lot,synthetic_secom_v2,SYNV2_00302,SYNV2_00302,2026-02-20 10:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-20 10:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00302"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00302"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00318,synthetic_lot,synthetic_secom_v2,SYNV2_00318,SYNV2_00318,2026-02-23 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-23 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00318"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00318"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00321,synthetic_lot,synthetic_secom_v2,SYNV2_00321,SYNV2_00321,2026-02-23 14:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-23 14:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00321"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00321"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00354,synthetic_lot,synthetic_secom_v2,SYNV2_00354,SYNV2_00354,2026-03-01 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-01 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00354"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00354"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00371,synthetic_lot,synthetic_secom_v2,SYNV2_00371,SYNV2_00371,2026-03-03 22:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-03 22:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00371"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00371"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00396,synthetic_lot,synthetic_secom_v2,SYNV2_00396,SYNV2_00396,2026-03-08 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-08 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00396"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00396"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00400,synthetic_lot,synthetic_secom_v2,SYNV2_00400,SYNV2_00400,2026-03-08 18:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-08 18:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00400"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00400"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00453,synthetic_lot,synthetic_secom_v2,SYNV2_00453,SYNV2_00453,2026-03-17 14:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-17 14:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00453"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00453"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00455,synthetic_lot,synthetic_secom_v2,SYNV2_00455,SYNV2_00455,2026-03-17 22:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-17 22:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00455"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00455"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00461,synthetic_lot,synthetic_secom_v2,SYNV2_00461,SYNV2_00461,2026-03-18 22:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-18 22:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00461"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00461"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00469,synthetic_lot,synthetic_secom_v2,SYNV2_00469,SYNV2_00469,2026-03-20 06:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-20 06:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00469"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00469"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00472,synthetic_lot,synthetic_secom_v2,SYNV2_00472,SYNV2_00472,2026-03-20 18:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-03-20 18:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00472"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00472"",""tool_id"":""TOOL_07""}"
