evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_ALARM_ABRUPT_001,tool_event,synthetic_tool_events,EVT_ABRUPT_001,SYNV2_00001,,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,True,tool_alarm,"{""alarm_code"":""ALARM_PRESSURE_SHIFT"",""chamber_id"":""TOOL_02_CH_02"",""end_time"":""2026-01-01 04:30:00"",""event_id"":""EVT_ABRUPT_001"",""event_type"":""tool_alarm"",""evidence_id"":""EVID_ALARM_ABRUPT_001"",""related_lot_id"":""SYNV2_00001"",""severity"":""high"",""start_time"":""2026-01-01 04:00:00"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00187,synthetic_lot,synthetic_secom_v2,SYNV2_00187,SYNV2_00187,2026-02-01 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-01 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00187"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00187"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00192,synthetic_lot,synthetic_secom_v2,SYNV2_00192,SYNV2_00192,2026-02-02 02:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-02 02:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00192"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00192"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00194,synthetic_lot,synthetic_secom_v2,SYNV2_00194,SYNV2_00194,2026-02-02 10:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-02 10:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00194"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00194"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00196,synthetic_lot,synthetic_secom_v2,SYNV2_00196,SYNV2_00196,2026-02-02 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-02 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00196"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00196"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00199,synthetic_lot,synthetic_secom_v2,SYNV2_00199,SYNV2_00199,2026-02-03 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-03 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00199"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00199"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00201,synthetic_lot,synthetic_secom_v2,SYNV2_00201,SYNV2_00201,2026-02-03 14:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-03 14:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00201"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00201"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00226,synthetic_lot,synthetic_secom_v2,SYNV2_00226,SYNV2_00226,2026-02-07 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-07 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00226"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00226"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00232,synthetic_lot,synthetic_secom_v2,SYNV2_00232,SYNV2_00232,2026-02-08 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-08 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00232"",""product_family"":""LOGIC"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00232"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00239,synthetic_lot,synthetic_secom_v2,SYNV2_00239,SYNV2_00239,2026-02-09 22:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-09 22:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00239"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00239"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00253,synthetic_lot,synthetic_secom_v2,SYNV2_00253,SYNV2_00253,2026-02-12 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-12 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00253"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00253"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00254,synthetic_lot,synthetic_secom_v2,SYNV2_00254,SYNV2_00254,2026-02-12 10:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-12 10:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00254"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00254"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00259,synthetic_lot,synthetic_secom_v2,SYNV2_00259,SYNV2_00259,2026-02-13 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-13 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00259"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00259"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00269,synthetic_lot,synthetic_secom_v2,SYNV2_00269,SYNV2_00269,2026-02-14 22:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-14 22:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00269"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00269"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00276,synthetic_lot,synthetic_secom_v2,SYNV2_00276,SYNV2_00276,2026-02-16 02:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-16 02:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00276"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00276"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00282,synthetic_lot,synthetic_secom_v2,SYNV2_00282,SYNV2_00282,2026-02-17 02:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-17 02:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00282"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00282"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00284,synthetic_lot,synthetic_secom_v2,SYNV2_00284,SYNV2_00284,2026-02-17 10:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-02-17 10:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00284"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00284"",""tool_id"":""TOOL_02""}"
