evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_MAINT_DELAY_GRADUAL_001,maintenance,synthetic_maintenance,MAINT_GRADUAL_001,SYNV2_00019,2026-01-04 06:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,True,Synthetic delayed-maintenance evidence; type=preventive_inspection; component=pressure_control_valve; delay_days=5; replacement_performed=False.,"{""chamber_id"":""TOOL_05_CH_02"",""component"":""pressure_control_valve"",""delay_days"":""5"",""evidence_id"":""EVID_MAINT_DELAY_GRADUAL_001"",""maintenance_id"":""MAINT_GRADUAL_001"",""maintenance_type"":""preventive_inspection"",""performed_at"":""2026-01-04 06:00:00"",""related_lot_id"":""SYNV2_00019"",""replacement_performed"":""False"",""scheduled_at"":""2025-12-30 06:00:00"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00137,synthetic_lot,synthetic_secom_v2,SYNV2_00137,SYNV2_00137,2026-01-23 22:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.23404255319148937"",""event_time"":""2026-01-23 22:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00137"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00137"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00146,synthetic_lot,synthetic_secom_v2,SYNV2_00146,SYNV2_00146,2026-01-25 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.2553191489361702"",""event_time"":""2026-01-25 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00146"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00146"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00149,synthetic_lot,synthetic_secom_v2,SYNV2_00149,SYNV2_00149,2026-01-25 22:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.276595744680851"",""event_time"":""2026-01-25 22:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00149"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00149"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00161,synthetic_lot,synthetic_secom_v2,SYNV2_00161,SYNV2_00161,2026-01-27 22:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.2978723404255319"",""event_time"":""2026-01-27 22:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00161"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00161"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00165,synthetic_lot,synthetic_secom_v2,SYNV2_00165,SYNV2_00165,2026-01-28 14:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.3191489361702127"",""event_time"":""2026-01-28 14:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00165"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00165"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00184,synthetic_lot,synthetic_secom_v2,SYNV2_00184,SYNV2_00184,2026-01-31 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.3404255319148936"",""event_time"":""2026-01-31 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00184"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00184"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00185,synthetic_lot,synthetic_secom_v2,SYNV2_00185,SYNV2_00185,2026-01-31 22:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.36170212765957444"",""event_time"":""2026-01-31 22:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00185"",""product_family"":""LOGIC"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00185"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00198,synthetic_lot,synthetic_secom_v2,SYNV2_00198,SYNV2_00198,2026-02-03 02:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.38297872340425526"",""event_time"":""2026-02-03 02:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00198"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00198"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00211,synthetic_lot,synthetic_secom_v2,SYNV2_00211,SYNV2_00211,2026-02-05 06:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.40425531914893614"",""event_time"":""2026-02-05 06:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00211"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00211"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00236,synthetic_lot,synthetic_secom_v2,SYNV2_00236,SYNV2_00236,2026-02-09 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.42553191489361697"",""event_time"":""2026-02-09 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00236"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00236"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00238,synthetic_lot,synthetic_secom_v2,SYNV2_00238,SYNV2_00238,2026-02-09 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.44680851063829785"",""event_time"":""2026-02-09 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00238"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00238"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00244,synthetic_lot,synthetic_secom_v2,SYNV2_00244,SYNV2_00244,2026-02-10 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.4680851063829787"",""event_time"":""2026-02-10 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00244"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00244"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00292,synthetic_lot,synthetic_secom_v2,SYNV2_00292,SYNV2_00292,2026-02-18 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.48936170212765956"",""event_time"":""2026-02-18 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00292"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00292"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00308,synthetic_lot,synthetic_secom_v2,SYNV2_00308,SYNV2_00308,2026-02-21 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.5106382978723404"",""event_time"":""2026-02-21 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00308"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00308"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00332,synthetic_lot,synthetic_secom_v2,SYNV2_00332,SYNV2_00332,2026-02-25 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.5319148936170213"",""event_time"":""2026-02-25 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00332"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00332"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00345,synthetic_lot,synthetic_secom_v2,SYNV2_00345,SYNV2_00345,2026-02-27 14:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.5531914893617021"",""event_time"":""2026-02-27 14:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00345"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00345"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00370,synthetic_lot,synthetic_secom_v2,SYNV2_00370,SYNV2_00370,2026-03-03 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.574468085106383"",""event_time"":""2026-03-03 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00370"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00370"",""tool_id"":""TOOL_05""}"
